type,name,info,timestamp
hyperlink,Lo nuevo,https://www.amazon.com.mx/gp/new-releases/?ref_=nav_cs_newreleases,2024-05-28 23:54:40
hyperlink,Los Más Regalados,https://www.amazon.com.mx/gcx/-/gfhz/?ref_=nav_cs_giftfinder,2024-05-28 23:54:40
hyperlink,Outlet,https://www.amazon.com.mx/gp/browse.html?node=11536082011&ref_=nav_cs_outlet,2024-05-28 23:54:40
hyperlink,Música,https://www.amazon.com.mx/music/unlimited?ref_=nav_cs_music,2024-05-28 23:54:40
hyperlink,Hogar y Cocina,https://www.amazon.com.mx/gp/browse.html?node=9482593011&ref_=nav_cs_home,2024-05-28 23:54:40
hyperlink,Electrónicos,https://www.amazon.com.mx/electronicos/b/?ie=UTF8&node=9482558011&ref_=nav_cs_electronics,2024-05-28 23:54:40
hyperlink,Juguetes y juegos de mesa,https://www.amazon.com.mx/gp/browse.html?node=11260442011&ref_=nav_cs_toys,2024-05-28 23:54:40
hyperlink,Belleza,https://www.amazon.com.mx/gp/browse.html?node=11260452011&ref_=nav_cs_beauty,2024-05-28 23:54:40
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=9298576011&ref_=nav_cs_books,2024-05-28 23:54:40
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=13848838011&ref_=nav_cs_fashion,2024-05-28 23:54:40
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=9482640011&ref_=nav_cs_video_games,2024-05-28 23:54:40
hyperlink,,https://www.amazon.com.mx/Herramientas-Mejoras-del-Hogar/b/?ie=UTF8&node=9482670011&ref_=nav_cs_hi,2024-05-28 23:54:40
hyperlink,,https://www.amazon.com.mx/computadoras-y-tablets/b/?ie=UTF8&node=9687880011&ref_=nav_cs_pc,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=9482610011&ref_=nav_cs_hpc,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=17608484011&ref_=nav_cs_grocery,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=9482660011&ref_=nav_cs_sports,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/Tarjetas-de-Regalo-Amazon/b/?ie=UTF8&node=19117234011&ref_=nav_cs_gc,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=13848848011&ref_=nav_cs_automotive,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=11782336011&ref_=nav_cs_pets,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/gp/browse.html?node=9482650011&ref_=nav_cs_baby,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/gp/help/customer/display.html?nodeId=508510&ref_=nav_cs_help,2024-05-28 23:54:41
